Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,134.07000732421875,136.2899932861328,133.6300048828125,136.0399932861328,122.36373138427734,4605900
2022-01-04,136.10000610351562,139.9499969482422,135.89999389648438,138.02000427246094,124.14469909667969,7300000
2022-01-05,138.30999755859375,142.1999969482422,137.8800048828125,138.22000122070312,124.32457733154297,8956900
2022-01-06,138.1999969482422,138.41000366210938,132.50999450683594,135.33999633789062,121.73412322998047,9908100
2022-01-07,134.89999389648438,135.66000366210938,133.50999450683594,134.8300018310547,121.27539825439453,5238100
2022-01-10,134.47000122070312,136.1999969482422,133.3800048828125,135.02999877929688,121.45528411865234,5432800
2022-01-11,130.52000427246094,133.25,127.97000122070312,132.8699951171875,119.51242065429688,11105300
2022-01-12,133.25,134.47000122070312,131.3699951171875,133.58999633789062,120.16004943847656,5352000
2022-01-13,133.89999389648438,136.0500030517578,133.55999755859375,134.75999450683594,121.2124252319336,4868300
2022-01-14,134.5500030517578,135.13999938964844,133.3000030517578,134.2100067138672,120.71772003173828,5310300
2022-01-18,132.9499969482422,133.88999938964844,131.77999877929688,132.94000244140625,119.57538604736328,5246700
2022-01-19,132.89999389648438,133.89999389648438,131.5,131.5800018310547,118.35211181640625,4103700
2022-01-20,131.25999450683594,132.8800048828125,130.57000732421875,130.82000732421875,117.66853332519531,5278200
2022-01-21,131.64999389648438,131.8699951171875,129.27000427246094,129.35000610351562,116.34629821777344,5907000
2022-01-24,127.98999786376953,129.14999389648438,124.19000244140625,128.82000732421875,115.86959075927734,13484000
2022-01-25,129.13999938964844,137.33999633789062,128.3000030517578,136.10000610351562,122.41771697998047,19715700
2022-01-26,136.47000122070312,137.07000732421875,133.1300048828125,134.25999450683594,120.76268768310547,8336000
2022-01-27,133.66000366210938,134.75,132.0800018310547,132.52000427246094,119.1976318359375,5497300
2022-01-28,133.19000244140625,134.52999877929688,131.7899932861328,134.5,120.97856903076172,5471500
2022-01-31,134.08999633789062,134.08999633789062,132.3000030517578,133.57000732421875,120.14207458496094,5859000
2022-02-01,133.75999450683594,135.9600067138672,132.5,135.52999877929688,121.90499877929688,6206400
2022-02-02,135.6999969482422,137.55999755859375,135.25999450683594,137.25,123.45211029052734,5357200
2022-02-03,137.0,138.75999450683594,135.8300018310547,137.77999877929688,123.9288330078125,6100800
2022-02-04,137.86000061035156,138.82000732421875,136.22000122070312,137.14999389648438,123.36215209960938,4142000
2022-02-07,137.4499969482422,137.82000732421875,136.27000427246094,137.24000549316406,123.44309997558594,3759000
2022-02-08,137.22999572753906,137.52000427246094,135.77999877929688,137.02000427246094,123.24523162841797,4181800
2022-02-09,137.83999633789062,138.35000610351562,136.8300018310547,137.7899932861328,123.93781280517578,5393500
2022-02-10,135.47000122070312,136.55999755859375,133.1699981689453,133.52000427246094,121.5437240600586,5978600
2022-02-11,133.89999389648438,134.7100067138672,132.3800048828125,132.69000244140625,120.78817749023438,4176200
2022-02-14,132.58999633789062,132.64999389648438,129.07000732421875,130.14999389648438,118.47598266601562,5345300
2022-02-15,130.63999938964844,131.67999267578125,129.61000061035156,129.94000244140625,118.28483581542969,4394000
2022-02-16,129.4499969482422,130.44000244140625,128.25999450683594,129.17999267578125,117.5929946899414,4875600
2022-02-17,128.0500030517578,128.5,124.8499984741211,124.97000122070312,113.76063537597656,6797000
2022-02-18,124.94000244140625,125.44000244140625,123.61000061035156,124.3499984741211,113.19623565673828,4609200
2022-02-22,124.19999694824219,125.0,122.68000030517578,123.91999816894531,112.80480194091797,5349700
2022-02-23,124.37999725341797,124.69999694824219,121.87000274658203,122.06999969482422,111.12074279785156,4086400
